RECID,BIKETYPE,BIKEMAKE,BIKEMODEL,FIRSTYEAR,LASTYEAR,CAPACITY,OE_HANDLEBAR,OE_FCW,OE_RCW,FRONT_BRAKEPADS,REAR_BRAKEPADS,78_HANDLEBARS,TWINWALL,FATBAR,FATBAR36,GRIPS,CAM,OE_BARMOUNT,BARMOUNT28,BARMOUNT36,FCWGROUP,FCWCONV,RCWCONV,RCWGROUP,RCWGROUP_RANGE,TWINRING,OE_CHAIN,CHAINCONV,R1_CHAIN,R3_CHAIN,R4_CHAIN,RR4_CHAIN,CLIPON,RCWCARRIER,ACTIVE_HANDLECOMPARE
9372,2,KAWASAKI,KX 80,1998,1999,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9373,2,KAWASAKI,KX 80,2000,2000,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9374,2,KAWASAKI,KX 80 (19/16),1991,1997,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9375,2,KAWASAKI,KX 80 (19/16),1998,2000,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9376,2,KAWASAKI,KX 85,2001,2013,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9379,2,KAWASAKI,KX 100,1987,1988,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9380,2,KAWASAKI,KX 100,1989,1990,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9381,2,KAWASAKI,KX 100,1991,1996,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9382,2,KAWASAKI,KX 100,1996,1996,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9383,2,KAWASAKI,KX 100,1997,1997,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9384,2,KAWASAKI,KX 100,1998,2010,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9386,2,KAWASAKI,KX 125,1985,1989,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9387,2,KAWASAKI,KX 125,1990,1991,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9388,2,KAWASAKI,KX 125,1992,1995,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9389,2,KAWASAKI,KX 125,1996,1997,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9390,2,KAWASAKI,KX 125,1998,1999,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9391,2,KAWASAKI,KX 125,2000,2002,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9392,2,KAWASAKI,KX 125,2003,2003,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9393,2,KAWASAKI,KX 250 (2-Stroke),1987,1989,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9394,2,KAWASAKI,KX 250 (2-Stroke),1990,1991,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9395,2,KAWASAKI,KX 250 (2-Stroke),1992,1998,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9396,2,KAWASAKI,KX 250 (2-Stroke),1999,2001,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9397,2,KAWASAKI,KX 250 (2-Stroke),2002,2005,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9398,2,KAWASAKI,KX 250 (2-Stroke),2006,2008,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9399,2,KAWASAKI,KX 250F,2004,2005,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9400,2,KAWASAKI,KX 250F,2009,2009,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9401,2,KAWASAKI,KX 450F,2006,2008,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9402,2,KAWASAKI,KX 500,1987,2004,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9403,2,KAWASAKI,KLX 110,2002,2002,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9404,2,KAWASAKI,KLX 110,2003,2009,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9406,2,KAWASAKI,KDX 200,1984,1988,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9407,2,KAWASAKI,KDX 200,1989,1994,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9408,2,KAWASAKI,KDX 220,1997,2006,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9409,2,KAWASAKI,KDX 250,1991,1994,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9410,2,KAWASAKI,KLX 250R,1994,1996,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9411,2,KAWASAKI,KLX 250,1994,1998,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9412,2,KAWASAKI,KLX 250S,2006,2007,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9413,2,KAWASAKI,KLX 300R,1997,2002,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9414,2,KAWASAKI,KLX 300R,2003,2007,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9415,6,KAWASAKI,KFX 400,2003,2006,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9416,6,KAWASAKI,KFX 450R,2008,2014,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9420,1,KAWASAKI,EL 250,1993,1996,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9421,1,KAWASAKI,EX 250 (GPX 250R),1988,1996,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9422,1,KAWASAKI,EX 250 (ZZR 250),1990,1993,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9423,1,KAWASAKI,ZX 400 (Z 400),1984,1987,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9424,1,KAWASAKI,ZX 400 (ZXR 400),1991,2003,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9428,1,KAWASAKI,EN 500,1996,2000,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9429,1,KAWASAKI,ER 500 (ER-5),2001,2007,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9430,1,KAWASAKI,EX 500 (GPZ 500S),1987,1993,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9431,1,KAWASAKI,EX 500 (GPZ 500S),1994,2004,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9433,1,KAWASAKI,ZR 550 (ZEPHYR),1991,1998,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9434,1,KAWASAKI,ZX 550 (GPZ 550),1983,1990,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9435,1,KAWASAKI,ZX 600 (GPZ 600R),1985,1990,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9436,1,KAWASAKI,ZX 600 (GPX 600R),1988,1996,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9437,1,KAWASAKI,ZX 600 (ZZR 600),1990,1993,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9438,1,KAWASAKI,ZX 600 (ZZR 600),1993,2006,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9439,1,KAWASAKI,ZX 600 (ZX-6R),1995,1997,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9441,1,KAWASAKI,ZX 600 (ZX-6R),1998,2001,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9443,1,KAWASAKI,ZX 636 B1/B2 (ZX-6R),2003,2004,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9444,1,KAWASAKI,ZX 636 (ZX-6R),2005,2006,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9445,1,KAWASAKI,ZX 600 (ZX-6RR),2003,2004,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9446,1,KAWASAKI,ZX 600 (ZX-6RR),2005,2006,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9447,1,KAWASAKI,ZX 600 (ZX-6R),2007,2008,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
